400,200
400,202
400,204
400,206
400,208
400,210
400,212
400,214
399,216
399,218
399,220
399,222
399,224
398,226
398,228
398,230
397,232
397,234
397,236
396,238
396,240
396,242
395,244
395,246
394,248
394,249
393,251
393,253
392,255
392,257
391,259
390,261
390,263
389,265
389,267
388,269
387,270
386,272
386,274
385,276
384,278
383,280
383,282
382,283
381,285
380,287
379,289
378,291
377,292
376,294
376,296
375,298
374,299
373,301
372,303
371,305
369,306
368,308
367,310
366,311
365,313
364,315
363,316
362,318
360,319
359,321
358,323
357,324
356,326
354,327
353,329
352,330
350,332
349,333
348,335
346,336
345,338
344,339
342,341
341,342
339,343
338,345
336,346
335,348
333,349
332,350
330,352
329,353
327,354
326,355
324,357
323,358
321,359
320,360
318,362
316,363
315,364
313,365
311,366
310,367
308,368
306,369
305,370
303,371
301,372
300,373
298,374
296,375
294,376
292,377
291,378
289,379
287,380
285,381
284,382
282,383
280,383
278,384
276,385
274,386
272,386
271,387
269,388
267,388
265,389
263,390
261,390
259,391
257,392
255,392
253,393
252,393
250,394
248,394
246,395
244,395
242,396
240,396
238,396
236,397
234,397
232,397
230,398
228,398
226,398
224,399
222,399
220,399
218,399
216,399
214,399
212,400
210,400
208,400
206,400
204,400
202,400
200,400
198,400
196,400
194,400
192,400
190,400
188,400
186,400
184,399
182,399
180,399
178,399
176,399
174,398
172,398
170,398
168,397
166,397
164,397
162,396
160,396
158,396
157,395
155,395
153,394
151,394
149,393
147,393
145,392
143,392
141,391
139,391
137,390
135,389
133,389
132,388
130,387
128,387
126,386
124,385
122,384
120,383
119,383
117,382
115,381
113,380
111,379
110,378
108,377
106,377
104,376
103,375
101,374
99,373
97,372
96,371
94,370
92,368
91,367
89,366
87,365
86,364
84,363
82,362
81,361
79,359
78,358
76,357
74,356
73,354
71,353
70,352
68,350
67,349
65,348
64,346
62,345
61,344
59,342
58,341
57,339
55,338
54,337
53,335
51,334
50,332
49,331
47,329
46,328
45,326
43,324
42,323
41,321
40,320
39,318
37,316
36,315
35,313
34,312
33,310
32,308
31,307
30,305
29,303
28,301
27,300
26,298
25,296
24,294
23,293
22,291
21,289
20,287
19,285
18,284
18,282
17,280
16,278
15,276
14,274
14,273
13,271
12,269
12,267
11,265
10,263
10,261
9,259
8,257
8,256
7,254
7,252
6,250
6,248
5,246
5,244
4,242
4,240
4,238
3,236
3,234
3,232
2,230
2,228
2,226
1,224
1,222
1,220
1,218
1,216
1,214
0,212
0,210
0,208
0,206
0,204
0,202
0,200
0,198
0,196
0,194
0,192
0,190
0,188
0,186
1,184
1,182
1,180
1,178
1,176
2,174
2,172
2,170
3,168
3,166
3,165
4,163
4,161
4,159
5,157
5,155
6,153
6,151
7,149
7,147
8,145
8,143
9,141
9,139
10,137
11,135
11,134
12,132
13,130
13,128
14,126
15,124
16,122
16,121
17,119
18,117
19,115
20,113
21,111
22,110
22,108
23,106
24,104
25,103
26,101
27,99
28,97
29,96
30,94
31,92
33,91
34,89
35,87
36,86
37,84
38,82
39,81
41,79
42,78
43,76
44,74
46,73
47,71
48,70
49,68
51,67
52,65
53,64
55,62
56,61
58,60
59,58
60,57
62,55
63,54
65,53
66,51
68,50
69,49
71,47
72,46
74,45
75,44
77,42
79,41
80,40
82,39
83,38
85,36
87,35
88,34
90,33
92,32
93,31
95,30
97,29
98,28
100,27
102,26
104,25
105,24
107,23
109,22
111,21
113,20
114,19
116,18
118,18
120,17
122,16
124,15
125,14
127,14
129,13
131,12
133,12
135,11
137,10
139,10
140,9
142,8
144,8
146,7
148,7
150,6
152,6
154,5
156,5
158,4
160,4
162,4
164,3
166,3
168,3
170,2
172,2
174,2
176,1
178,1
180,1
182,1
184,1
186,1
188,0
190,0
192,0
194,0
196,0
198,0
200,0
202,0
204,0
206,0
208,0
210,0
212,0
214,0
216,1
217,1
219,1
221,1
223,1
225,2
227,2
229,2
231,2
233,3
235,3
237,4
239,4
241,4
243,5
245,5
247,6
249,6
251,7
253,7
255,8
257,8
259,9
261,9
262,10
264,11
266,11
268,12
270,13
272,13
274,14
276,15
277,16
279,16
281,17
283,18
285,19
287,20
288,21
290,21
292,22
294,23
295,24
297,25
299,26
301,27
302,28
304,29
306,30
308,31
309,32
311,34
313,35
314,36
316,37
317,38
319,39
321,40
322,42
324,43
325,44
327,45
328,47
330,48
332,49
333,51
335,52
336,53
337,55
339,56
340,57
342,59
343,60
345,62
346,63
347,65
349,66
350,68
351,69
353,71
354,72
355,74
356,75
358,77
359,78
360,80
361,82
362,83
364,85
365,87
366,88
367,90
368,92
369,93
370,95
371,97
372,98
373,100
374,102
375,104
376,105
377,107
378,109
379,111
380,112
381,114
382,116
382,118
383,120
384,122
385,123
385,125
386,127
387,129
388,131
388,133
389,135
390,136
390,138
391,140
391,142
392,144
393,146
393,148
394,150
394,152
395,154
395,156
395,158
396,160
396,162
397,164
397,166
397,168
398,169
398,171
398,173
398,175
399,177
399,179
399,181
399,183
399,185
400,187
400,189
400,191
400,193
400,195
400,197
400,199
400,201
400,203
400,205
400,207
400,209
400,211
400,213
399,215
399,217
399,219
399,221
399,223
398,225
398,227
398,229
398,231
397,233
397,235
397,237
396,239
396,241
395,243
395,245
394,247
394,249
393,251
393,253
392,255
392,257
391,258
391,260
390,262
389,264
389,266
388,268
387,270
387,272
386,274
385,275
384,277
384,279
383,281
382,283
381,285
380,286
379,288
379,290
378,292
377,294
376,295
375,297
374,299
373,301
372,302
371,304
370,306
369,307
368,309
367,311
365,312
364,314
363,316
362,317
361,319
360,321
358,322
357,324
356,325
355,327
353,328
352,330
351,331
349,333
348,334
347,336
345,337
344,339
343,340
341,342
340,343
338,344
337,346
335,347
334,349
332,350
331,351
329,352
328,354
326,355
